Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,Class
X11,PoS,657000000.0,657000000,-0.3460579009064993,1.0120246152023145,-0.24246687078182594,Lutetium Coin,1
Equihash,dPoW/PoW,115898131.0,200000000,-0.09022180309916228,-1.658000854314958,0.4168869060445618,Komodo,0
X11,PoW/PoS,15563873.0,50000000,-0.41003782125473287,1.232856228496328,-0.5413589714456956,GoldBlocks,1
Scrypt,PoW/PoS,43165500.0,90000000,-0.33420318357119333,0.9229451330904525,-0.5453285555819793,CarterCoin,1
CryptoNight,PoW,7822432.72439746,10000000,0.2936686392400797,-2.132221319227772,0.46437423841445313,Karbo,0
SHA-256,PoW/PoS,595429.0,21000000,-0.31196896096399246,0.8279004528296929,-0.3575540881438239,BitTokens,1
SHA-256,PoW,6243840.0,9736000,-0.1448634290492284,-1.2401311701463869,0.21079136883800917,ZayedCoin,0
X11,PoW/PoS,657636.34549789,3000000,-0.4105533072828306,1.2328749216940769,-0.5413518194995048,MustangCoin,1
Scrypt,PoW/PoS,2581970.0,21000000,-0.3351886366215482,0.9229673681290465,-0.5453113665670246,ZoneCoin,1
Multiple,PoW,1000000000.0,1200000000,-0.11112358863365104,-1.735723141409461,0.3604018063029591,Circuits of Value,0
Scrypt,PoW/PoS,1939889.0,0,-0.3353453659375825,0.9229773965424736,-0.545310323836159,RootCoin,1
Scrypt,PoW,116845228.0,200000000,-0.16540602699542398,-1.145126483752519,0.02298787025936048,DopeCoin,0
Scrypt,PoS,169598616.0,0,-0.28146239961992575,0.7023088679712169,-0.2462252421696236,BitCurrency,1
SHA-256,PoW,9106714.0,10638298,-0.14482202304349595,-1.2401308113689693,0.21079030979407157,DollarCoin,0
Scrypt,PoW/PoW,665200057.0,3100000000,-0.250870054775302,0.08830329837395665,-0.30448655515513195,Swiscoin,1
Scrypt,PoW,11119200.0,30000000,-0.16790411848950498,-1.1450732997752513,0.0230322724738457,Shilling,0
SHA-256D,PoW/PoS,19577787259.0,20000000000,0.04421685764580096,1.9171635009322106,-0.7536741173756574,BuzzCoin,1
PoS,PoS,74033806.7949683,74000000,-0.3238238722984106,1.4828451570103578,-0.11691145104797084,Opair,1
Scrypt,PoW/PoS,33522957.0,0,-0.33495914582100195,0.9229861928369827,-0.5453216217631733,PesoBit,1
X11,PoW/PoS,264678458.288619,1500000000,-0.39671183517333625,1.2322208244324424,-0.541504223788472,Halloween Coin,1
Lyra2Z,PoW,7568281.24956067,21400000,-0.16004422109882355,-2.074395516476905,0.43400461329363044,ZCoin,0
PoS,PoS,148716816.0,39999898,-0.3231516360625318,1.482882483257436,-0.11693685036700423,CoffeeCoin,1
X13,PoS,2500124.0,2500124,-0.22945165618271599,1.5376621621405426,-0.3323579043128395,RoyalCoin,1
X14,PoW/PoS,100000000.0,100000000,-0.4516442696678154,2.058218199388485,-0.5867311433369344,GanjaCoin V2,1
PoS,PoS,17818682.1654,301000000,-0.3229020158166072,1.482719164950152,-0.11690013034605011,TeamUP,1
SHA-256D,PoW/PoS,1082162635.53683,7506000000,-0.2705357554080977,1.918085051857153,-0.7465741207778516,LanaCoin,1
Ethash,PoW,26205539.0,26205539,-0.14376100632378275,-1.9851352191161846,0.3563913686881394,Elementrem,0
Equihash,PoW,5613550.0,21000000,-0.1134260388845222,-2.0197976200181964,0.3956914684635209,ZClassic,0
DPoS,DPoS,108202084.0,125000000,3.7062208184285503,2.0739974179861616,-0.27119336372579317,ARK,1
X11,PoW/PoS,18342813.0,30000000,-0.4101456264993452,1.232866723649411,-0.5413591912023493,InsaneCoin,1
Scrypt,PoW,196297971.0,10000000000,-0.09495825828267608,-1.1498677344158381,0.02258002734345952,KiloCoin,0
X11,PoW,824000000.0,500000000,-0.22984514568074113,-0.8351760092471263,0.026681453008051845,ArtexCoin,0
X13,PoW/PoS,92192822723.0,850000000,0.8520924328315339,1.7836416526413301,-0.6645141885987087,EmberCoin,1
X11,PoW/PoS,3853326.77707314,3853326.77707314,-0.4105081785389455,1.2328753969681003,-0.5413529957028822,XenixCoin,1
PoS,PoS,50000000.0,50000000,-0.32428792041257026,1.4828501287017675,-0.11690192445602025,FreeCoin,1
Scrypt,PoW/PoS,17089600.0,38540000 ,-0.33488687889506424,0.9229628832155667,-0.5453172353372532,PLNCoin,1
Scrypt,PoW/PoS,2449577.41533168,42000000,-0.3350413781168413,0.92295712401467,-0.5453121322524161,AquariusCoin,1
X11,PoW,61364813.0,228000000,-0.24109950672952907,-0.8352562049705976,0.02696479450672625,Kurrent,0
PoS,PoS,20000000.0,20000000,-0.3248674637884891,1.4828563550855685,-0.11689003133283267,Creatio,1
X11,PoW/PoS,6069482.07721352,60000000,-0.4100830313438221,1.2328487235940762,-0.5413559622668617,Eternity,1
SHA-256,PoW/PoS,12416554.0,20000000,-0.3118314932825594,0.8279042312256003,-0.3575582780921809,Eurocoin,1
Scrypt,PoW/PoS,20244023.640728,33000000,-0.33488757967048066,0.9229664545309804,-0.5453181492518524,BitcoinFast,1
X11,TPoS,75590369.0,76500000,-0.4453016695226541,0.8552378671181147,-0.3552354394207038,Stakenet,1
Scrypt,PoW/PoS,11080722.3769581,28000000,-0.3350350820286392,0.9229663327281561,-0.5453146777643171,BitConnect Coin,1
